Advanced Telemetry Systems' R4500C Series Receiver-Data Logger
Csv Data File: C:\Users\ODELLA\Desktop\R4500C_10_16_2023_11_14_10_standard date.csv
 Generated: 10/16/2023
Program: ATSWinRec_R4500C,Version: R4500C_3.0.26.18869,Source:PC
                                                  
                                                  
Date,Ant,Fr,Sig,Code,NumDet,NumMort,DataInd,Data,PrmNum,
07/06/23 13:49,0,150054,120,12,18,0,NA,NA,0,
07/06/23 13:49,1,150054,127,12,18,0,NA,NA,0,
07/06/23 13:49,2,150054,124,12,18,0,NA,NA,0,
07/07/23 10:08,0,149394,81,95,2,1,NA,NA,0,
07/10/23 20:01,2,149535,80,60,2,1,NA,NA,0,
07/15/23 15:19,1,149572,74,25,2,2,NA,NA,0,
07/18/23 14:58,0,149474,73,50,3,0,NA,NA,0,
07/20/23 20:32,0,149572,73,1,3,0,NA,NA,0,
07/20/23 20:32,1,149572,70,0,3,0,NA,NA,0,
07/20/23 20:05,1,150054,101,69,2,0,NA,NA,0,
07/21/23 21:25,1,150054,103,25,2,1,NA,NA,0,
07/25/23 20:35,0,149556,72,81,3,0,NA,NA,0,
07/29/23 12:30,0,149394,72,8,3,3,NA,NA,0,
07/29/23 12:30,0,149394,73,4,3,0,NA,NA,0,
07/29/23 19:29,2,150054,103,88,3,0,NA,NA,0,
08/01/23 4:09,0,149515,86,98,27,0,NA,NA,0,
08/01/23 4:09,1,149515,83,98,33,0,NA,NA,0,
08/01/23 4:12,2,149515,79,98,28,0,NA,NA,0,
08/01/23 4:10,0,149515,83,98,42,0,NA,NA,0,
08/01/23 4:12,1,149515,88,98,57,0,NA,NA,0,
08/01/23 4:26,2,149515,85,98,54,0,NA,NA,0,
08/01/23 4:20,0,149515,79,98,28,0,NA,NA,0,
08/01/23 4:21,1,149515,84,98,50,0,NA,NA,0,
08/01/23 4:30,1,149515,82,98,43,0,NA,NA,0,
08/01/23 4:35,2,149515,84,98,43,0,NA,NA,0,
