Advanced Telemetry Systems' R4500C Series Receiver-Data Logger,,,,,,,,,
Csv Data File: C:\Users\gloverl\Desktop\R4500C_8_29_2023_12_51_36.csv,,,,,,,,,
,,,,,,,,,
Program: ATSWinRec_R4500C,Version: R4500C_3.0.31.28757,Source:PC,,,,,,,
                                                  ,,,,,,,,,
                                                  ,,,,,,,,,
Date,Ant,Fr,Sig,Code,NumDet,NumMort,DataInd,Data,PrmNum
7/7/2023 14:18,0,150054,129,12,18,0,NA,NA,0
7/7/2023 14:18,1,150054,129,12,18,0,NA,NA,0
7/7/2023 14:18,2,150054,128,12,18,0,NA,NA,0
7/9/2023 17:11,0,149572,93,34,2,0,NA,NA,0
7/9/2023 17:19,0,149572,84,56,3,0,NA,NA,0
7/16/2023 15:10,1,149624,83,7,3,0,NA,NA,0
7/16/2023 18:21,0,149624,85,96,3,3,NA,NA,0
7/20/2023 14:30,1,149624,89,66,3,0,NA,NA,0
7/21/2023 16:32,1,149394,84,77,3,0,NA,NA,0
7/23/2023 15:05,2,149556,92,10,2,0,NA,NA,0
7/28/2023 14:23,1,149572,89,32,2,0,NA,NA,0
7/28/2023 14:40,1,149535,88,6,3,0,NA,NA,0
8/3/2023 15:02,0,149394,66,6,2,1,NA,NA,0
8/6/2023 17:38,2,149624,95,28,2,0,NA,NA,0
8/7/2023 16:10,0,150054,97,72,3,0,NA,NA,0
8/8/2023 5:27,1,149515,69,98,6,0,NA,NA,0
8/8/2023 5:38,0,149515,68,98,6,0,NA,NA,0
8/8/2023 5:38,1,149515,71,98,5,0,NA,NA,0
8/8/2023 5:42,1,149515,71,98,7,0,NA,NA,0
8/8/2023 5:43,0,149515,67,98,6,0,NA,NA,0
8/8/2023 5:51,0,149515,71,98,6,0,NA,NA,0
8/8/2023 5:53,1,149515,73,98,18,0,NA,NA,0
8/8/2023 6:07,1,149515,73,98,22,0,NA,NA,0
8/8/2023 6:09,0,149515,75,98,12,0,NA,NA,0
8/8/2023 6:14,0,149515,80,98,46,0,NA,NA,0
8/8/2023 6:14,1,149515,80,98,48,0,NA,NA,0
8/8/2023 6:15,2,149515,74,98,24,0,NA,NA,0
8/8/2023 6:26,0,149515,85,98,58,0,NA,NA,0
8/8/2023 6:28,1,149515,85,98,57,0,NA,NA,0
8/8/2023 6:29,2,149515,77,98,45,0,NA,NA,0
8/8/2023 6:39,0,149515,89,98,66,0,NA,NA,0
8/8/2023 6:36,1,149515,90,98,60,0,NA,NA,0
8/8/2023 6:35,2,149515,79,98,58,0,NA,NA,0
8/8/2023 6:43,1,149515,88,98,67,0,NA,NA,0
8/8/2023 6:42,2,149515,79,98,54,0,NA,NA,0
8/8/2023 6:45,0,149515,88,98,60,0,NA,NA,0
8/8/2023 6:57,2,149515,80,98,61,0,NA,NA,0
8/8/2023 6:57,0,149515,90,98,55,0,NA,NA,0
8/8/2023 6:59,1,149515,89,98,54,0,NA,NA,0
8/8/2023 7:00,0,149515,89,98,44,0,NA,NA,0
8/8/2023 7:03,1,149515,89,98,55,0,NA,NA,0
8/8/2023 7:08,2,149515,82,98,33,0,NA,NA,0
8/8/2023 7:18,2,149515,102,98,56,0,NA,NA,0
